,currencyName,currencyCode,cash,transfer,sell,icon
0,US DOLLAR,USD,23775.00,23805.00,24145.00,/-/media/Default-Images/Icons/Flags/im_flag_usa.svg?h=160&w=540&ts=20230610195953&hash=125A086DF078C8354067A12B3DB241F6
1,EURO,EUR,25466.76,25724.00,26891.81,/-/media/Default-Images/Icons/Flags/im_flag_eur.svg?h=160&w=540&ts=20230610195955&hash=CE32D02066B2A7C5AEC5FB56491B2F21
2,POUND STERLING,GBP,29659.83,29959.43,30923.45,/-/media/Default-Images/Icons/Flags/im_flag_gbp.svg?h=160&w=540&ts=20230610195950&hash=C49B9127B92FABF1D0172A6B0A25B6FD
3,YEN,JPY,160.18,161.80,169.57,/-/media/Default-Images/Icons/Flags/im_flag_jpy.svg?h=160&w=540&ts=20230610195953&hash=83A989BF0E75A047882F930220674D24
4,AUSTRALIAN DOLLAR,AUD,15055.34,15207.41,15696.75,/-/media/Default-Images/Icons/Flags/im_flag_aud.svg?h=160&w=540&ts=20230610195950&hash=5062761B8367AE1587344A1A23CC9672
5,SINGAPORE DOLLAR,SGD,17194.04,17367.71,17926.56,/-/media/Default-Images/Icons/Flags/im_flag_sgd.svg?h=160&w=540&ts=20230709003433&hash=FDBF54BA661105C5C991ED447181F9E6
6,THAILAND BAHT,THB,597.58,663.98,689.47,/-/media/Default-Images/Icons/Flags/im_flag_thb.svg?h=160&w=540&ts=20230610195952&hash=7AF5FE6B89C01FB4A0C3871F64F3A9C8
7,CANADIAN DOLLAR,CAD,17317.65,17492.58,18055.44,/-/media/Default-Images/Icons/Flags/im_flag_cad.svg?h=160&w=540&ts=20230610195951&hash=1041725D6BF774EB0AEC66CFA738E31B
8,SWISS FRANC,CHF,26590.39,26858.98,27723.23,/-/media/Default-Images/Icons/Flags/im_flag_chf.svg?h=160&w=540&ts=20230610195952&hash=A4E600B2A26B6D462CB4F3C38B20E4D5
9,HONGKONG DOLLAR,HKD,2986.66,3016.83,3113.91,/-/media/Default-Images/Icons/Flags/im_flag_hkd.svg?h=160&w=540&ts=20230610195951&hash=91EA21112E7F527A5C1F934356BC910F
10,YUAN RENMINBI,CNY,3224.61,3257.18,3362.50,/-/media/Default-Images/Icons/Flags/im_flag_cny.svg?h=160&w=540&ts=20230610195953&hash=FA76770ACE0DE61AD7545ED7782860A1
11,DANISH KRONE,DKK,0.00,3443.19,3575.37,/-/media/Default-Images/Icons/Flags/im_flag_dkk.svg?h=160&w=540&ts=20230610195954&hash=463351E9A21D59429628037FE8608167
12,INDIAN RUPEE,INR,0.00,287.30,298.82,/-/media/Default-Images/Icons/Flags/im_flag_inr.svg?h=160&w=540&ts=20230610195952&hash=2611CE2F0513E286E4B557FA57BE3AA0
13,KOREAN WON,KRW,15.48,17.20,18.86,/-/media/Default-Images/Icons/Flags/im_flag_krw.svg?h=160&w=540&ts=20230709003433&hash=134F78CDF2C9A04A909FB5178C17826D
14,KUWAITI DINAR,KWD,0.00,77696.41,80810.16,/-/media/Default-Images/Icons/Flags/im_flag_kwd.svg?h=160&w=540&ts=20230610195949&hash=01343D04B74F68FA304FEDA10330FFD5
15,MALAYSIAN RINGGIT,MYR,0.00,5111.60,5223.57,/-/media/Default-Images/Icons/Flags/im_flag_myr.svg?h=160&w=540&ts=20230610195950&hash=33BCB37282EE1AA2BC6B9F1633C86D3C
16,NORWEGIAN KRONER,NOK,0.00,2229.88,2324.77,/-/media/Default-Images/Icons/Flags/im_flag_nok.svg?h=160&w=540&ts=20230610195951&hash=25E599D979259952E9EEAB830D759A61
17,RUSSIAN RUBLE,RUB,0.00,232.80,257.73,/-/media/Default-Images/Icons/Flags/im_flag_rub.svg?h=160&w=540&ts=20230709003433&hash=CA6F9500A799DBB8B3A67B9AA91E8A2A
18,SAUDI RIAL,SAR,0.00,6374.06,6629.51,/-/media/Default-Images/Icons/Flags/im_flag_sar.svg?h=160&w=540&ts=20230610195954&hash=C51A8CF10D85F6D6412F330513596A19
19,SWEDISH KRONA,SEK,0.00,2161.71,2253.70,/-/media/Default-Images/Icons/Flags/im_flag_sek.svg?h=160&w=540&ts=20230610195949&hash=CE84DD933BDB32F254265076E161ECEF
